FIPS,State,County,Diabetes Prevalence - % Adults with Diabetes,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access to Healthy Foods,% Limited Access to Healthy Foods,# Drug Overdose Deaths,Drug Overdose Mortality Rate,# Uninsured Adults,% Uninsured Adults,# Uninsured Children,% Uninsured Children,Median Household Income,Household Income (AIAN),Household Income (Asian),Household Income (Black),Household Income (Hispanic),Household Income (White),% Enrolled in Free or Reduced Lunch,Segregation Index,% Household Income Required for Child Care Expenses,# Child Care Centers,"Child Care Centers per 1,000 Children",
26000,Michigan,,11,16881,199,1150150,12,630370,6,7735,26,457691,8,56993,3,63444,49354,94904,38950,54962,67583,51,73,41,,9,87
26001,Michigan,Alcona,10,,,1690,16,674,6,,,520,10,53,4,46749,,85667,,45893,46385,62,,31,3,9,80
26003,Michigan,Alger,10,8,99,1290,14,470,5,,,417,9,56,4,54516,,,,72986,49050,55,,50,6,20,83
26005,Michigan,Allegan,9,122,123,11260,10,5267,5,42,12,5940,9,948,3,73873,52478,92917,70256,56213,71463,43,65,33,55,8,88
26007,Michigan,Alpena,10,10,41,4110,15,1806,6,,,1197,8,140,3,50848,,225294,,28606,45055,58,76,41,11,8,83
26009,Michigan,Antrim,9,18,87,2940,13,14,0,11,16,1202,10,204,5,59430,45000,111563,,41463,61544,54,,48,11,11,86
26011,Michigan,Arenac,10,7,54,2370,16,0,0,,,789,10,122,4,50452,50417,,25625,31071,49750,59,,33,6,9,82
26013,Michigan,Baraga,11,16,221,1290,16,400,5,,,444,11,75,5,46656,42857,55694,,24318,48046,62,,32,5,15,80
26015,Michigan,Barry,9,24,46,6190,10,4,0,26,14,2867,8,495,4,68380,,193160,51771,57015,68882,44,76,42,28,8,85
26017,Michigan,Bay,10,85,96,15080,15,5663,5,93,30,5012,8,558,3,56681,71053,,31250,41554,53479,52,59,49,52,10,87
26019,Michigan,Benzie,9,7,45,2140,12,,,,,915,9,158,5,67924,,,,,,58,,26,8,10,90
26021,Michigan,Berrien,10,227,175,21600,14,14995,10,77,17,7996,9,981,3,57554,64405,78426,26033,51817,62388,57,74,46,58,7,82
26023,Michigan,Branch,11,25,69,5900,14,2891,6,16,12,2478,10,624,6,60481,,,57981,71493,55594,60,56,37,16,6,84
26025,Michigan,Calhoun,11,200,178,19900,15,15518,11,148,37,5944,8,959,3,55639,30804,78750,31530,42813,57090,57,59,45,58,7,87
26027,Michigan,Cass,10,22,50,6720,13,1689,3,23,15,2562,9,365,3,62065,51450,,47100,52382,61643,57,54,37,14,6,86
26029,Michigan,Charlevoix,9,10,44,3290,13,104,0,16,20,1273,9,171,3,64604,48750,63000,85370,52772,63741,50,,33,16,15,86
26031,Michigan,Cheboygan,10,19,84,4250,17,1013,4,11,14,1374,10,179,4,53747,32056,64453,66719,,53771,67,,40,7,7,84
26033,Michigan,Chippewa,11,18,56,5750,15,3135,8,18,16,2404,13,345,5,48972,44202,103709,36420,27308,54322,56,,41,16,9,86
26035,Michigan,Clare,11,40,151,5910,19,410,1,28,30,1797,11,297,5,46085,,,31339,31944,43968,63,72,50,17,10,79
26037,Michigan,Clinton,9,68,101,7230,9,7431,10,29,12,3067,6,493,3,77617,129750,56750,28800,50917,77268,33,53,52,31,7,89
26039,Michigan,Crawford,10,,,2260,16,308,2,11,26,615,8,77,3,50367,,,,,,55,,39,5,7,89
26041,Michigan,Delta,10,21,68,5210,15,1873,5,13,12,1861,10,224,3,53234,36349,73814,,72593,50418,52,,47,17,10,84
26043,Michigan,Dickinson,9,,,3030,12,2000,8,24,32,962,7,136,3,56033,52004,72734,,45972,55193,43,,48,15,11,86
26045,Michigan,Eaton,9,94,100,12530,11,9479,9,66,20,4494,7,620,3,70638,51908,74406,50258,63500,74439,45,67,33,50,9,89
26047,Michigan,Emmet,9,13,45,4320,13,2066,6,10,10,1880,10,282,4,71401,57222,171161,,73125,63294,40,,38,21,13,89
26049,Michigan,Genesee,12,594,174,65660,16,48600,11,580,48,18493,8,1686,2,52157,52563,88958,34871,52608,60100,60,68,58,180,8,85
26051,Michigan,Gladwin,11,14,64,3900,15,1433,6,,,1329,10,197,4,49146,37045,,,55543,48297,58,,42,11,8,82
26053,Michigan,Gogebic,10,8,65,2060,14,799,5,,,693,9,90,4,44675,,50417,45750,,42163,57,63,40,6,10,81
26055,Michigan,Grand Traverse,8,90,112,10940,12,4662,5,32,11,4627,8,580,3,66271,60486,42891,,53681,69889,35,69,40,56,12,91
26057,Michigan,Gratiot,10,24,69,5590,14,7029,17,15,12,1644,8,197,2,55249,47917,63961,,46250,53264,58,60,40,14,8,83
