,,,Premature Death,,,,,,,,,,,,,,,,,,,,,,,,,,Poor or Fair Health,,,,Poor Physical Health Days,,,,Poor Mental Health Days,,,,Low Birthweight,,,,,,,,,,,,,,,,,,,,Adult Smoking,,,,Adult Obesity,,,,Food Environment Index,,Physical Inactivity,,,,Access to Exercise Opportunities,,Excessive Drinking,,,,Alcohol-Impaired Driving Deaths,,,,,,Sexually Transmitted Infections,,,Teen Births,,,,,,,,,,,,,,,,,,,Uninsured,,,,,Primary Care Physicians,,,,Dentists,,,,Mental Health Providers,,,,Preventable Hospital Stays,,,,,,,Mammography Screening,,,,,,,Flu Vaccinations,,,,,,,High School Completion,,,,,,Some College,,,,,,Unemployment,,,,Children in Poverty,,,,,,,,,Income Inequality,,,,Children in Single-Parent Households,,,,,,Social Associations,,,Injury Deaths,,,,,,,,,,,,,,,,,,,,Air Pollution - Particulate Matter,,Drinking Water Violations,,Severe Housing Problems,,,,,,,,,,,,,Driving Alone to Work,,,,,,,,,,,,,,,,,,,Long Commute - Driving Alone,,,,
FIPS,State,County,Unreliable,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (AIAN) Unreliable,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Asian) Unreliable,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Black) Unreliable,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (Hispanic) Unreliable,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,YPLL Rate (White) Unreliable,% Fair or Poor Health,95% CI - Low,95% CI - High,Z-Score,Average Number of Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Average Number of Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,% Low Birthweight,95% CI - Low,95% CI - High,Z-Score,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Adults Reporting Currently Smoking,95% CI - Low,95% CI - High,Z-Score,% Adults with Obesity,95% CI - Low,95% CI - High,Z-Score,Food Environment Index,Z-Score,% Physically Inactive,95% CI - Low,95% CI - High,Z-Score,% With Access to Exercise Opportunities,Z-Score,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low,95% CI - High,Z-Score,# Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score,# Dentists,Dentist Rate,Dentist Ratio,Z-Score,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score,Preventable Hospitalization Rate,Z-Score,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% with Annual Mammogram,Z-Score,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),# Completed High School,Population,% Completed High School,95% CI - Low,95% CI - High,Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Z-Score,# Unemployed,Labor Force,% Unemployed,Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score,# Children in Single-Parent Households,# Children in Households,% Children in Single-Parent Households,95% CI - Low,95% CI - High,Z-Score,# Associations,Social Association Rate,Z-Score,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Z-Score,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score,Presence of Water Violation,Z-Score,% Severe Housing Problems,95% CI - Low,95% CI - High,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score,% Drive Alone to Work,95% CI - Low,95% CI - High,Z-Score,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Z-Score
26000,Michigan,,,141031,7883,7819,7948,,8972,8208,9736,,2636,2442,2829,,14079,13860,14299,,6680,6434,6927,,6928,6859,6998,,15,14,16,,3.3,3.1,3.6,,5.3,5.0,5.6,,,9,9,9,,9,8,10,9,9,9,14,14,15,7,7,8,7,7,7,19,18,21,,35,34,37,,7.0,,20,19,22,,85,,20,19,21,,1502,5139,29,29,30,,44769,448.3,,17,17,17,,20,18,22,3,3,3,36,35,36,25,25,26,12,12,13,509720,6,6,7,,8067,81,1235:1,,7897,79,1273:1,,31848,317,316:1,,3324,,4724,2207,6586,3038,2954,38,,35,27,32,30,39,50,,34,53,36,42,51,6340231,6923132,92,91,92,,1707845,2491315,69,68,69,,280464,4776119,5.9,,18,17,18,,27,11,37,25,13,123605,26860,4.6,,550490,2182505,25,25,26,,9547,9.6,,40427,81,80,82,,99,89,110,20,18,22,107,105,110,57,54,60,80,79,81,6.8,,,,14,14,14,12,12,12,2,2,2,1,1,1,,79,79,79,,76,74,78,70,69,72,73,72,73,73,72,74,81,80,81,4594453,33,33,34,
26001,Michigan,Alcona,,217,8701,6029,11373,0.51,,,,,,,,,,,,,,,,,,,,,15,13,17,0.32,3.6,3.2,3.9,0.44,5.5,5.1,5.9,0.64,,8,6,11,0.64,,,,,,,,,,,,,,,,23,19,26,0.53,37,35,39,-0.03,6.9,0.76,22,19,24,0.25,69,-0.03,22,21,23,0.35,4,8,50,32,65,1.06,14,134.6,-0.82,19,12,28,-0.22,,,,,,,,,,,,,,,,570,9,7,10,0.71,6,57,1751:1,0.05,1,10,10235:1,1.64,10,98,1024:1,0.94,2205,-0.55,,,,,,41,-0.14,,,,,,30,1.36,,,,,,7548,8347,90,89,92,0.37,869,1521,57,50,64,0.48,263,3725,7.1,0.62,26,17,36,1.30,,,,24,23,85675,21052,4.1,-0.19,273,1307,21,15,27,-0.08,14,13.3,-0.84,65,125,97,159,2.17,,,,,,,,,,,,,,,,6.1,-0.59,No,-0.47,11,10,13,10,9,12,1,0,2,0,0,1,-0.58,77,74,80,-0.62,,,,,,,,,,,,,,,,3341,38,33,43,0.78
26003,Michigan,Alger,,115,5662,3683,7640,-1.39,,,,,,,,,,,,,,,,,,,,,15,13,17,0.27,3.5,3.2,3.7,0.11,5.3,5.1,5.6,-0.11,,9,6,11,0.96,,,,,,,,,,,,,,,,23,19,25,0.53,40,39,42,1.29,7.4,-0.05,22,20,24,0.25,80,-0.66,21,21,22,0.06,0,10,0,0,20,-2.18,12,131.8,-0.84,15,9,23,-0.74,,,,,,,,,,,,,,,,469,8,7,10,0.35,7,78,1288:1,-0.58,4,45,2205:1,0.43,7,79,1260:1,1.09,2396,-0.29,,,,,,46,-1.22,58,,,,46,32,1.16,23,,,,32,6259,6834,92,90,93,-0.05,862,1933,45,38,52,1.89,248,3089,8.0,1.37,17,11,23,-0.29,,,,30,8,85519,22375,3.8,-0.73,171,1400,12,5,19,-1.71,9,10.0,0.27,30,66,44,94,-1.01,,,,,,,,,,,,,,,,4.9,-1.44,No,-0.47,11,9,14,9,6,11,2,0,3,1,0,2,-0.49,74,68,80,-1.38,,,,,,,,,,,,,,,,2766,34,25,42,0.29
26005,Michigan,Allegan,,1491,6913,6357,7469,-0.61,,,,,,,,,,,,,8285,6242,10785,,6583,6010,7157,,13,12,15,-0.69,3.2,2.9,3.6,-0.65,5.2,4.9,5.6,-0.46,,7,6,7,-0.65,,,,,,,12,7,17,7,5,8,7,6,7,20,17,23,-0.58,35,33,37,-0.92,8.4,-1.66,20,17,22,-0.67,57,0.58,21,20,22,-0.16,20,83,24,18,30,-0.62,327,276.9,0.09,17,16,19,-0.39,,,,,,,22,12,37,30,24,36,16,14,17,6823,7,6,8,-0.41,26,22,4574:1,1.12,41,34,2950:1,0.82,117,97,1034:1,0.95,1970,-0.87,,,7432,448,1977,37,0.73,25,,,38,38,46,-0.28,41,,34,30,46,74319,81394,91,90,92,0.05,17080,28695,60,56,63,0.22,2822,60557,4.7,-1.24,12,9,16,-1.14,,4,17,26,10,119906,31553,3.8,-0.78,5255,28818,18,14,22,-0.58,121,10.2,0.20,436,74,67,81,-0.55,263,126,484,,,,,,,60,39,87,75,67,82,7.0,0.05,Yes,2.12,10,9,11,8,7,9,2,2,3,0,0,1,-1.04,82,81,84,0.73,,,,74,67,81,74,61,87,74,66,82,79,77,80,55380,35,33,37,0.45
26007,Michigan,Alpena,,453,7523,6232,8815,-0.23,,,,,,,,,,,,,,,,,,,,,15,13,17,0.27,3.5,3.1,3.8,0.18,5.4,5.1,5.8,0.24,,7,6,8,-0.22,,,,,,,,,,,,,,,,22,19,25,0.38,37,35,39,-0.11,7.3,0.11,22,20,24,0.30,53,0.80,22,20,23,0.14,4,9,44,26,60,0.70,45,158.4,-0.67,23,19,27,0.39,,,,,,,,,,,,,,,,1323,6,5,8,-0.84,19,67,1486:1,-0.26,26,90,1111:1,-1.09,110,381,263:1,-1.30,2187,-0.57,,,,,,48,-1.65,,,,,,41,0.23,20,,,19,41,19907,21477,93,92,94,-0.45,3891,6163,63,57,69,-0.19,725,13183,5.5,-0.59,24,17,30,0.86,,,2,79,16,90085,19947,4.5,0.78,1377,5447,25,19,31,0.74,37,13.1,-0.77,114,80,65,95,-0.24,,,,,,,,,,,,,,,,6.1,-0.59,No,-0.47,10,8,11,9,7,11,0,0,1,1,0,1,-1.25,82,80,85,0.74,,,,,,,,,,,,,,,,11823,16,13,18,-1.53
26009,Michigan,Antrim,,326,6068,4846,7289,-1.14,,,,,,,,,,,,,,,,,,,,,13,11,15,-0.96,3.1,2.8,3.5,-0.92,5.3,4.9,5.7,-0.37,,6,5,7,-1.26,,,,,,,,,,,,,,,,19,15,23,-0.77,36,33,38,-0.75,8.2,-1.34,19,16,21,-1.06,57,0.61,22,21,23,0.70,6,19,32,19,44,-0.13,51,218.7,-0.28,18,15,23,-0.22,,,,,,,,,,,,,,,,1393,8,7,10,0.50,14,60,1675:1,-0.03,8,34,2977:1,0.83,11,46,2165:1,1.35,2237,-0.51,,,,,,35,1.16,,,,,,49,-0.59,,,,50,49,16441,17655,93,92,94,-0.61,2698,4292,63,57,69,-0.16,693,9865,7.0,0.59,17,11,23,-0.36,,,,32,12,107782,28237,3.8,-0.74,783,4186,19,14,23,-0.49,23,9.8,0.32,85,73,58,90,-0.63,,,,,,,,,,,,,,,,6.0,-0.66,No,-0.47,11,9,12,9,8,11,1,1,1,1,0,1,-0.83,75,73,77,-1.13,,,,,,,,,,,,,,,,10154,39,34,43,0.80
26011,Michigan,Arenac,,278,7898,6138,9658,0.01,,,,,,,,,,,,,,,,,,,,,16,14,18,0.59,3.6,3.3,4.0,0.75,5.6,5.2,5.9,0.97,,8,6,9,0.15,,,,,,,,,,,,,,,,23,20,27,0.83,37,35,39,-0.20,7.6,-0.37,23,20,25,0.69,50,1.02,22,21,23,0.18,6,21,29,17,41,-0.33,32,215.0,-0.31,23,18,30,0.49,,,,,,,,,,,,,,,,899,8,7,10,0.44,4,27,3738:1,0.97,7,47,2139:1,0.38,32,214,468:1,0.02,3270,0.90,,,,,,43,-0.57,,,,,,42,0.13,,,,27,42,10046,11313,89,87,90,0.96,1662,2973,56,50,62,0.62,475,5709,8.3,1.59,23,16,30,0.72,10,,,44,16,88183,23595,3.7,-0.92,647,2766,23,17,29,0.39,11,7.4,1.13,72,96,75,121,0.61,,,,,,,,,,,,,,,,6.7,-0.16,No,-0.47,11,9,12,9,8,11,1,1,2,1,0,1,-0.81,84,82,87,1.29,,,,,,,,,,,,,,,,5832,38,34,42,0.75
26013,Michigan,Baraga,,148,7968,5832,10104,0.05,,,,,,,,,,,,,,,,,,,,,17,15,19,1.39,3.8,3.5,4.0,1.11,5.4,5.1,5.7,0.15,,6,4,8,-1.00,10,4,15,,,,,,,,,,5,3,8,25,22,27,1.40,41,40,43,1.76,7.2,0.27,24,21,26,1.04,18,2.76,22,21,22,0.17,5,7,71,58,81,2.45,27,328.9,0.42,19,13,27,-0.12,35,19,60,,,,,,,,,,15,9,25,515,10,8,11,1.27,7,86,1166:1,-0.82,6,73,1369:1,-0.51,11,134,747:1,0.66,933,-2.28,,,,,,44,-0.78,58,,,,43,26,1.77,10,,,,29,5681,6238,91,89,93,0.14,986,2022,49,42,56,1.42,237,3006,7.9,1.26,22,15,30,0.60,16,,,,19,93887,20170,4.7,1.08,321,1420,23,16,29,0.24,5,6.1,1.54,46,110,81,147,1.39,,,,,,,,,,,,,,,,4.9,-1.44,No,-0.47,13,10,16,10,7,12,3,1,5,1,0,1,0.28,83,79,86,0.83,77,66,89,,,,,,,,,,83,72,94,2955,19,15,23,-1.13
26015,Michigan,Barry,,753,6092,5365,6818,-1.12,,,,,,,,,,,,,,,,,,,,,12,11,14,-1.28,3.1,2.8,3.4,-1.01,5.5,5.1,5.8,0.42,,7,6,8,-0.55,,,,,,,,,,,,,,,,20,17,23,-0.58,35,33,37,-0.88,8.7,-2.14,19,17,22,-0.89,57,0.63,22,21,23,0.24,7,42,17,9,25,-1.10,175,284.3,0.14,16,14,19,-0.53,,,,,,,,,,26,15,42,16,14,18,3330,7,6,8,-0.60,22,35,2821:1,0.71,16,25,3937:1,1.11,77,122,818:1,0.75,2289,-0.44,,,,,,43,-0.57,,,,,,47,-0.38,,,,33,47,40724,43590,93,93,94,-0.72,8643,14534,59,55,64,0.22,1408,30851,4.6,-1.31,12,9,16,-1.14,,40,,25,9,120803,33043,3.7,-1.09,2447,13721,18,14,22,-0.66,58,9.3,0.48,215,70,61,80,-0.76,,,,,,,,,,,,,,,,8.4,1.05,Yes,2.12,10,8,11,8,6,9,2,1,2,1,0,1,-1.26,83,81,85,1.03,,,,,,,,,,,,,,,,28214,47,44,51,1.70
