OID_,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Leng,Shape_Area,mean_totin,sum_cars,mean_cars,sum_carshz,mean_carsh,mean_totkl,mean_trkdm,Point_Coun,Percent Below Poverty Line,Total Population,White-Alone,Black-Alone,AA-Alone,Asian-Alone
75,55,001,950100,55001950100,9501,Census Tract 9501,G5020,S,233976137.000000000000000,17523223.000000000000000,44.2022742,-89.7468898,0.896730643,0.028316024,0,0,0,0,0,0,0,0,3.7,3242,3093,6,15,12
615,55,001,950201,55001950201,9502.01,Census Tract 9502.01,G5020,S,110142594.000000000000000,7642055.000000000000000,44.0031471,-89.8876764,0.78533367,0.013218094,0,0,0,0,0,0,0,0,8.1,1386,1297,7,7,0
613,55,001,950202,55001950202,9502.02,Census Tract 9502.02,G5020,S,467891427.000000000000000,50536191.000000000000000,44.0888085,-89.7705744,1.294677176900000,0.058253228,0,0,0,0,0,0,0,0,20.3,935,880,3,6,0
74,55,001,950400,55001950400,9504,Census Tract 9504,G5020,S,235588925.000000000000000,1195071.000000000000000,43.9407474,-89.7376994,0.979953874,0.026543177,0,41.000000000000000,3.727272727270000,0,0,0,29846.181818199998816,11,8.1,1646,1579,2,4,0
361,55,001,950501,55001950501,9505.01,Census Tract 9505.01,G5020,S,114020583.000000000000000,19754029.000000000000000,43.8817191,-89.896239,0.59180997,0.014981271,0,0,0,0,0,0,0,0,17.2,4491,4165,40,15,22
614,55,001,950502,55001950502,9505.02,Census Tract 9505.02,G5020,S,249548271.000000000000000,3145970.000000000000000,43.8227785,-89.7494816,0.934513734,0.028270961,0,0,0,0,0,0,0,0,21.1,1418,1358,1,2,5
73,55,001,950700,55001950700,9507,Census Tract 9507,G5020,S,261072450.000000000000000,8536122.000000000000000,43.7124931,-89.6815029,0.828791314,0.030114463,0,0,0,0,0,0,0,0,13.6,3775,2939,489,104,28
801,55,003,940000,55003940000,9400,Census Tract 9400,G5020,S,561440458.000000000000000,20970459.000000000000000,46.5031467,-90.6881142,1.323056440240000,0.066314564,0,0,0,0,0,0,0,0,6.7,3761,3423,55,45,18
1086,55,003,950300,55003950300,9503,Census Tract 9503,G5020,S,5615714.000000000000000,261219.000000000000000,46.5768916,-90.8794224,0.189251414,0.000660834,0,0,0,0,0,0,0,0,16.4,2066,794,5,1187,0
1084,55,003,950400,55003950400,9504,Census Tract 9504,G5020,S,8534364.000000000000000,198305.000000000000000,46.5704906,-90.9075476,0.165713755,0.001003383,0,0,0,0,0,0,0,0,19.7,2735,2300,30,201,28
1087,55,003,950500,55003950500,9505,Census Tract 9505,G5020,S,341111876.000000000000000,2301643.000000000000000,46.3975034,-90.831493,1.188542406850000,0.040168713,0,0,0,0,0,0,0,0,12,2267,1842,22,219,24
